Downloaded from wid.world on 25-01-2024 at 08:37:08
Percentile;Year;"gptinc_992_t_FR
Pre-tax national income 
Total population | Gini coefficient | adults | tax unit
France"
pall;1900;0.609048596273
pall;1901;
pall;1902;
pall;1903;
pall;1904;
pall;1905;
pall;1906;
pall;1907;
pall;1908;
pall;1909;
pall;1910;0.6218905812
pall;1911;
pall;1912;
pall;1913;
pall;1914;
pall;1915;0.599380058372
pall;1916;0.617050743921
pall;1917;0.615680933109
pall;1918;0.593277412806
pall;1919;0.599001948003
pall;1920;0.585450294725
pall;1921;0.578531135236
pall;1922;0.591433506552
pall;1923;0.606638442954
pall;1924;0.593529061789
pall;1925;0.589315066745
pall;1926;0.577856898146
pall;1927;0.586132177931
pall;1928;0.583766822597
pall;1929;0.570977545961
pall;1930;0.551950386236
pall;1931;0.550970896201
pall;1932;0.569936452243
pall;1933;0.585264989302
pall;1934;0.589269529477
pall;1935;0.596015789645
pall;1936;0.575201603322
pall;1937;0.569021723541
pall;1938;0.56236872951
pall;1939;0.535199853603
pall;1940;0.544150974162
pall;1941;0.537221270849
pall;1942;0.50787284857
pall;1943;0.467837264306
pall;1944;0.450427665296
pall;1945;0.443869668439
pall;1946;0.472799567477
pall;1947;0.48323802105
pall;1948;0.465297980605
pall;1949;0.468848675314
pall;1950;0.468535696591
pall;1951;0.47948544794
pall;1952;0.484000231392
pall;1953;0.48262403237
pall;1954;0.488091176132
pall;1955;0.494193322678
pall;1956;0.489902983584
pall;1957;0.495059822543
pall;1958;0.489103568336
pall;1959;0.503809930863
pall;1960;0.50546021134
pall;1961;0.510743342731
pall;1962;0.501367920328
pall;1963;0.505576101896
pall;1964;0.508460061259
pall;1965;0.513167653586
pall;1966;0.505468223333
pall;1967;0.503173978018
pall;1968;0.490263361854
pall;1969;0.481469018414
pall;1970;0.474528540815
pall;1971;0.472098272528
pall;1972;0.468098603766
pall;1973;0.476359652135
pall;1974;0.47151488773
pall;1975;0.464664455427
pall;1976;0.458227268835
pall;1977;0.43990768539
pall;1978;0.429885438304
pall;1979;0.428152750401
pall;1980;0.424668244034
pall;1981;0.425211800774
pall;1982;0.415522846888
pall;1983;0.423240308633
pall;1984;0.425904696149
pall;1985;0.436315258252
pall;1986;0.446703935162
pall;1987;0.458142428163
pall;1988;0.46527880446
pall;1989;0.47154769626
pall;1990;0.471176743545
pall;1991;0.471349589408
pall;1992;0.469498398451
pall;1993;0.474602665699
pall;1994;0.479293013709
pall;1995;0.48150200975
pall;1996;0.485359025918
pall;1997;0.489415908634
pall;1998;0.493021432234
pall;1999;0.494455251407
pall;2000;0.49561453085
pall;2001;0.496598782548
pall;2002;0.490260299801
pall;2003;0.492700816686
pall;2004;0.495621825959
pall;2005;0.492803178417
pall;2006;0.492435050725
pall;2007;0.496644896477
pall;2008;0.494383837528
pall;2009;0.483786061741
pall;2010;0.490151194937
pall;2011;0.489343178805
pall;2012;0.482988960632
pall;2013;0.474268670858
pall;2014;0.474826810113
